rank,address,label,proxy_score,wallet_type,trading_signal,win_rate_pct,profit_factor,track_record_days,txn_count,total_volume_usd,avg_trade_usd,active_days,tokens_traded,dex_count,source
11,0x85e90be828a32f36e3826a463993a0bf8c13fd4c,Dune DEX Trader #0,94.0,DEX Trader,Active Trader,83.3,5.22,129,3613,11020051.64,3050.11,103,6,6,dune_dex_trades
12,0xfed83cd5d388dd7a07abb9bcefc6e5328de7691a,Dune DEX Trader #0,94.0,DEX Trader,Active Trader,87.7,5.37,132,889,936078.9,1052.96,115,484,1,dune_dex_trades
13,0xc50c30f8e6c9a260e50ebe9ea531d08f7e36096b,Dune DEX Trader #0,93.9,DEX Trader,Active Trader,98.8,367.77,132,994,716248.1,720.57,116,502,1,dune_dex_trades
14,0x700b744fb8091e18ff88abb16793891678eea257,Dune DEX Trader #0,93.9,DEX Trader,Active Trader,85.7,7.93,96,980,1843495.04,1881.12,94,7,7,dune_dex_trades
15,0xa77f84e26e93a92e8e5f22a1ba0a94099ae6f740,Dune DEX Trader #0,93.7,DEX Trader,Active Trader,92.3,5.19,177,428,695239.65,1624.39,88,26,2,dune_dex_trades
16,0x81109c07ca97833d35bd1a7a3628cd90906bed1e,Dune DEX Trader #0,93.5,DEX Trader,Active Trader,94.7,69.06,132,1486,1309312.81,881.1,116,511,1,dune_dex_trades
17,0xd06c50cde7279a98ef970fbdba73e84930ad8468,Dune DEX Trader #0,93.3,DEX Trader,Active Trader,77.8,5.15,179,7913,19245052.54,2432.08,169,139,5,dune_dex_trades
18,0xbadc0de76438f9524d42c219b390636196bfbdfc,Dune DEX Trader #0,93.3,DEX Trader,Active Trader,94.1,4.76,174,153,289203.01,1890.22,33,17,4,dune_dex_trades
19,0x6e9965973aebd5e3853255fcd84640b2b4c5a3f8,Dune DEX Trader #0,93.2,DEX Trader,Active Trader,83.3,13.95,98,794,1699091.99,2139.91,73,6,3,dune_dex_trades
20,0xd29c997debe68eb374ec2ce0ab3078bdf4408416,Dune DEX Trader #0,93.0,DEX Trader,Active Trader,77.8,7.02,161,908,2454728.52,2703.45,77,13,6,dune_dex_trades
21,0x1b09d85553732ce4de325a51a4149311be6d154f,Dune DEX Trader #0,92.9,DEX Trader,Active Trader,77.8,5.14,157,1988,4530458.41,2278.9,113,12,5,dune_dex_trades
22,0xbee4b69f6821ee7196182788392ff188bac99011,Dune DEX Trader #0,92.8,DEX Trader,Active Trader,76.2,12.65,179,3788,12500300.35,3299.97,150,30,4,dune_dex_trades
23,0xba0517589e27e76e05dcc0d5a9987d728cec6bab,Dune DEX Trader #0,92.7,DEX Trader,Active Trader,94.4,116.43,132,1003,910401.93,907.68,115,509,1,dune_dex_trades
24,0xd0c4f36b5db8353939292c7a2e0814894ca4a1ad,Dune DEX Trader #0,92.7,DEX Trader,Active Trader,99.1,36.95,178,772,687457.39,890.49,133,222,1,dune_dex_trades
25,0x14577050dee56c8a279a9d65b13d3c04d1d07c2d,Dune DEX Trader #0,92.5,DEX Trader,Active Trader,75,14.96,179,3054,7830963.19,2564.17,132,4,1,dune_dex_trades
26,0xc852922b95b6b19850046d42db28ac09a1cfde70,Dune DEX Trader #0,92.5,DEX Trader,Active Trader,77.8,20.06,179,1337,2924661.04,2187.48,156,18,5,dune_dex_trades
27,0xa8e1aed437f83898784fdc5c0256412f10be33ae,Dune DEX Trader #0,92.5,DEX Trader,Active Trader,75,5.53,179,1114,6634664.02,5955.71,109,16,1,dune_dex_trades
28,0x0090ac276c0a7e0a17770729e450a2a9753f2d04,Dune DEX Trader #0,92.3,DEX Trader,Active Trader,75,393.08,175,1569,3945823.45,2514.87,161,4,5,dune_dex_trades
29,0x00f72dde000091c62c51c600af6f0000dd00562e,Dune DEX Trader #0,91.8,DEX Trader,Active Trader,97.5,22.52,104,106,176545.61,1665.52,32,40,2,dune_dex_trades
30,0xf22c89b62f4f7fc138f673fab48ee86ac31b487b,Dune DEX Trader #0,91.7,DEX Trader,Active Trader,75,29.56,137,5699,9741859.76,1709.4,105,9,5,dune_dex_trades
31,0x2002cf123cac3f5b482f483c047bc2788e0dd4c0,Dune DEX Trader #0,91.4,DEX Trader,Active Trader,71.4,6.59,179,21220,35828611.65,1688.44,181,11,6,dune_dex_trades
32,0x0000fdf3af21c329851de8e981178928e472edd9,Dune DEX Trader #0,91.4,DEX Trader,Active Trader,71.4,7.1,179,7803,12937274.51,1657.99,181,10,6,dune_dex_trades
33,0xaaaaa11120784c31adb462bbc15e750b9d46b325,Dune DEX Trader #0,91.3,DEX Trader,Active Trader,72.2,5.47,179,1632,30775270.63,18857.4,172,21,5,dune_dex_trades
34,0x5aaba56b29bf785cd71d8d9d3f729f4f459f9e2b,Dune DEX Trader #0,91.2,DEX Trader,Active Trader,71.4,14.78,168,5762,142555044.19,24740.55,169,7,1,dune_dex_trades
35,0xa072a49b9df8b07f493e38ee4991b7cba7296593,Dune DEX Trader #0,91.2,DEX Trader,Active Trader,90,74.67,179,447,707121.93,1581.93,132,31,2,dune_dex_trades
36,0xb2b1191a0d1800a11dcdf02c5b392fdf86ea4fdd,Dune DEX Trader #0,90.5,DEX Trader,Active Trader,75,43.06,120,300,533349.94,1777.83,35,6,4,dune_dex_trades
37,0x5384d3e29e5e25c370674ffe803d2f74378ab0ef,Dune DEX Trader #0,90.4,DEX Trader,Active Trader,85.2,16.66,120,440,345239.88,784.64,20,49,1,dune_dex_trades
38,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,Dune DEX Trader #0,90.2,DEX Trader,Active Trader,70.3,4.7,179,2980,6723235.76,2256.12,179,142,10,dune_dex_trades
39,0x925b332d6c56558fa207881c44ca613857534b04,Dune DEX Trader #0,90.1,DEX Trader,Active Trader,71.7,7.01,109,3703,8120694.4,2193,111,63,1,dune_dex_trades
40,0xbee3211ab312a8d065c4fef0247448e17a8da000,Dune DEX Trader #0,90.0,DEX Trader,Active Trader,66.7,14.47,179,20302,78134356.58,3848.6,181,41,8,dune_dex_trades
41,0xd37e02228f6f78d48092dafb5c2ae12123dea693,Dune DEX Trader #0,90.0,DEX Trader,Active Trader,66.7,41.22,179,10978,71555781.07,6518.11,155,3,1,dune_dex_trades
42,0x00003f0b7045822689ce3a6118846218a2c22cfd,Dune DEX Trader #0,90.0,DEX Trader,Active Trader,66.7,6.18,179,8212,15946106.38,1941.81,181,10,7,dune_dex_trades
43,0x2a59addab32b359a89520277ca7a57e976538fa6,Dune DEX Trader #0,90.0,DEX Trader,Active Trader,66.7,9.96,178,3923,15993039,4076.74,138,3,1,dune_dex_trades
44,0x8361a4786bd2081acbf4a0802aab618d6aa1c674,Dune DEX Trader #0,90.0,DEX Trader,Active Trader,66.7,7.79,178,2939,44098281.1,15004.52,135,3,1,dune_dex_trades
45,0x2e5ef37ade8afb712b8be858fec7389fe32857e2,Dune DEX Trader #0,90.0,DEX Trader,Active Trader,66.7,5.62,179,2110,47469712.87,22497.49,178,17,5,dune_dex_trades
46,0x4ff1d40fb7b56665bf95d8d8e3a5320de46709a1,Dune DEX Trader #0,90.0,DEX Trader,Active Trader,66.7,11.98,179,1929,2642752.16,1370.01,167,217,2,dune_dex_trades
47,0xbb97e044fdda625f054f5f9fe5dcf58fb0316104,Dune DEX Trader #0,89.8,DEX Trader,Active Trader,66.7,7.7,168,8741,26400840.89,3020.35,135,16,4,dune_dex_trades
48,0xd76935f7e93108f8e41ff2c462119e488621de2c,Dune DEX Trader #0,89.8,DEX Trader,Active Trader,83.3,21.84,120,438,323602.74,738.82,21,50,1,dune_dex_trades
49,0xa77bd3e15b91c53fa7a5a056429aaa3a10d34d77,Dune DEX Trader #0,89.6,DEX Trader,Active Trader,75,9.55,127,439,698202.65,1590.44,62,54,1,dune_dex_trades
50,0xef2cf85e99664bc68efec4aadc267cbb2325c920,Dune DEX Trader #0,89.4,DEX Trader,Active Trader,66.7,263.95,143,3528,5463780.59,1548.69,94,4,2,dune_dex_trades
51,0x063715c525924fd84f91dd7f169c56a8250e8c6a,Dune DEX Trader #0,89.4,DEX Trader,Active Trader,83.3,9.57,168,197,7587548.54,38515.47,54,7,4,dune_dex_trades
52,0xc92208319a6602c8c74b6576d8e1335368fc4d52,Dune DEX Trader #0,89.0,DEX Trader,Active Trader,66.7,9.7,128,603,1525042.58,2529.09,45,3,1,dune_dex_trades
53,0x97105cf9fe2a44295c000f2f6e1ca9ce1a3036af,Dune DEX Trader #0,89.0,DEX Trader,Active Trader,83.3,8.25,168,148,2891372.56,19536.3,44,9,5,dune_dex_trades
54,0x841b6ff0979f86bd76579a3cd03fa43a6a1bb697,Dune DEX Trader #0,88.9,DEX Trader,Active Trader,79.8,3.47,174,7808,9888191.19,1266.42,172,722,3,dune_dex_trades
55,0xbfae8e87053309fde07ab3ca5f4b5345f8e3058f,Dune DEX Trader #0,88.9,DEX Trader,Active Trader,75,4.43,92,4897,15889864.31,3244.82,93,9,1,dune_dex_trades
56,0x7f9d01fde77f0775244402587bdfa3ef2b550da8,Dune DEX Trader #0,88.9,DEX Trader,Active Trader,80,6.87,171,211,260452.24,1234.37,53,119,1,dune_dex_trades
57,0x000000000004444c5dc75cb358380d2e3de08a90,Dune DEX Trader #0,88.8,DEX Trader,Active Trader,62.7,5.4,179,20090,172517781.91,8587.25,181,187,8,dune_dex_trades
58,0x8d90113a1e286a5ab3e496fbd1853f265e5913c6,Dune DEX Trader #0,88.8,DEX Trader,Active Trader,70,4.27,179,16897,411052978.77,24326.98,181,12,1,dune_dex_trades
59,0xc5f5e4e6dbd759a9ac9890de04035b792af641c3,Dune DEX Trader #0,88.8,DEX Trader,Active Trader,66.7,7.24,117,3465,6214118.41,1793.4,96,6,3,dune_dex_trades
60,0xa85b93983767729fcceac60e32a0bf87cd632108,Dune DEX Trader #0,88.8,DEX Trader,Active Trader,83.3,4.18,150,268,681665.08,2543.53,48,7,3,dune_dex_trades
61,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2,Dune DEX Trader #0,88.7,DEX Trader,Active Trader,62.5,5.59,179,3090,6639898.41,2148.83,157,20,3,dune_dex_trades
62,0x612169fda8ae6da853060b84c3151faf6aacb8b8,Dune DEX Trader #0,88.7,DEX Trader,Active Trader,62.5,6.36,174,1215,2278141.04,1875.01,113,10,8,dune_dex_trades
63,0xafa6276cb19fdd2dbec0bdc20f03d8fcb058684c,Dune DEX Trader #0,88.7,DEX Trader,Active Trader,71.5,6.99,177,577,1112954.62,1928.86,94,124,1,dune_dex_trades
64,0xeefff83a8eb922b0de5286a1664b71272aaae9bf,Dune DEX Trader #0,88.7,DEX Trader,Active Trader,83.3,11.29,176,237,480653.86,2028.08,78,8,5,dune_dex_trades
65,0x88f80f426b20ca34f9e53dddb7839d3a63eb73dd,Dune DEX Trader #0,88.5,DEX Trader,Active Trader,75,3.73,179,5172,5934108.56,1147.35,181,27,1,dune_dex_trades
66,0x7d7a720dac81199238e347205654dfce36858860,Dune DEX Trader #0,88.5,DEX Trader,Active Trader,80,5.18,114,116,451260.01,3890.17,25,6,5,dune_dex_trades
67,0x78894702e9f89be3b680bc6193adf8e00b6c343a,Dune DEX Trader #0,88.4,DEX Trader,Active Trader,66.7,106.62,104,545,752663.47,1381.03,44,4,2,dune_dex_trades
68,0x81ef01189df6f6143a427856b0617b4fe0e892a9,Dune DEX Trader #0,88.3,DEX Trader,Active Trader,70,4.12,179,2927,10756948.36,3675.08,180,11,5,dune_dex_trades
69,0x93e22ecd5b8a4da8c0e97d7158c060612e7115a3,Dune DEX Trader #0,88.2,DEX Trader,Active Trader,80,12.18,161,94,4292720.56,45667.24,26,6,5,dune_dex_trades
70,0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,Dune DEX Trader #0,88.1,DEX Trader,Active Trader,61.2,9.67,167,34002,194117921.09,5709.01,168,55,10,dune_dex_trades
71,0x52bdb8b7197a007d5aa50194342bd178b84860ac,Dune DEX Trader #0,88.1,DEX Trader,Active Trader,66.7,5.21,94,1366,32948473.33,24120.41,84,6,8,dune_dex_trades
72,0x77edae6a5f332605720688c7fda7476476e8f83f,Dune DEX Trader #0,88.1,DEX Trader,Active Trader,61.1,16.29,179,1018,1231220.74,1209.45,105,47,1,dune_dex_trades
73,0x43403583e889ada1c951a94e9996af3a5ccf7b46,Dune DEX Trader #0,88.0,DEX Trader,Active Trader,60,17.77,179,8263,26203508.54,3171.19,181,5,5,dune_dex_trades
74,0x0000000000001efe53a797754f094caf01bf92c7,Dune DEX Trader #0,88.0,DEX Trader,Active Trader,60,17.14,179,4408,4506122.85,1022.26,131,17,3,dune_dex_trades
75,0x8d8d5b393d7fabdd28bff2fa8912921641364fed,Dune DEX Trader #0,88.0,DEX Trader,Active Trader,63.2,5.82,127,1142,4446433,3893.55,69,34,3,dune_dex_trades
76,0x1afc1ab161fa0c283ad274836f13fbd3bc1a22c4,Dune DEX Trader #0,88.0,DEX Trader,Active Trader,75,4.14,93,557,14171328.73,25442.24,27,5,7,dune_dex_trades
77,0xfb4a2282f98280f1281a752a0875d71283a4d9fb,Dune DEX Trader #0,88.0,DEX Trader,Active Trader,75,5.06,171,112,117406.89,1048.28,25,22,4,dune_dex_trades
78,0xdf81987465681d0515058fe0a47a3bd174012730,Dune DEX Trader #0,87.9,DEX Trader,Active Trader,60,5.84,171,494,10771570.6,21804.8,32,8,4,dune_dex_trades
79,0xa71a78b538c172e9eb0a2214f2866c9403a1edae,Dune DEX Trader #0,87.7,DEX Trader,Active Trader,87.2,2.87,123,3061,21256014.11,6944.14,119,50,5,dune_dex_trades
80,0x9bcade0b971fd6d1750b73c3c98bfd764dde349d,Dune DEX Trader #0,87.7,DEX Trader,Active Trader,66.7,722.07,94,703,1119179.81,1592.01,76,4,2,dune_dex_trades
81,0x5a98dbceeca053b7845fc4dd79124f66908ade50,Dune DEX Trader #0,87.7,DEX Trader,Active Trader,80,8.15,177,114,5318026.62,46649.36,37,6,5,dune_dex_trades
82,0xe592427a0aece92de3edee1f18e0157c05861564,Smart Money 2,87.6,Smart Money,Holder,58.8,5.56,179,,,,,,,dune_dex_trades+existing
83,0x124ce844fab46dc12183dc35c82ccc9bc83fddd5,Dune DEX Trader #0,87.6,DEX Trader,Active Trader,62.5,5.86,179,1144,10322122.84,9022.83,139,21,5,dune_dex_trades
84,0x74a0121dc0ab16d697b79b59cedeffc626d5e28f,Dune DEX Trader #0,87.5,DEX Trader,Active Trader,75,9.96,177,306,9898917.92,32349.4,77,11,5,dune_dex_trades
85,0x88481e2fbc98d4a251655b0f1a4422555ea72d9e,Dune DEX Trader #0,87.4,DEX Trader,Active Trader,71.4,7.93,178,709,5831858.28,8225.47,147,15,1,dune_dex_trades
86,0x932d91682423357b435172e50d9ea2dca614217f,Dune DEX Trader #0,87.4,DEX Trader,Active Trader,70.6,9.05,176,593,4439955.43,7487.28,116,22,3,dune_dex_trades
87,0x619c5c0de6172015a3f657578f4c3305795f3fa0,Dune DEX Trader #0,87.4,DEX Trader,Active Trader,85.7,7.23,159,105,183855.38,1751,50,11,2,dune_dex_trades
88,0xfe0c760cbcb9da239b9ba805f0aeaed3be84f65a,Dune DEX Trader #0,87.3,DEX Trader,Active Trader,71.4,3.69,179,20614,32755296.08,1588.98,106,7,3,dune_dex_trades
89,0x1ce053b5d96d6d73c70ffe4888335ca56a268888,Dune DEX Trader #0,87.3,DEX Trader,Active Trader,58.3,7.46,169,768,1109710.76,1444.94,40,18,5,dune_dex_trades
90,0xbf21f7aa553b14169c0e38dc085aaa64c62996e6,Dune DEX Trader #0,87.3,DEX Trader,Active Trader,72.7,4.38,176,608,1214420.84,1997.4,97,121,1,dune_dex_trades
91,0xd0f717d1569322fe3c321584371e34c286a6237a,Dune DEX Trader #0,87.1,DEX Trader,Active Trader,57.1,10.52,177,1092,45768422.5,41912.47,82,8,5,dune_dex_trades
92,0x63f22cc7fdc9ffe4edf8e91abca106f9453dce98,Dune DEX Trader #0,87.1,DEX Trader,Active Trader,80,6.41,157,301,487821.22,1620.67,104,11,2,dune_dex_trades
93,0xd17b3c9784510e33cd5b87b490e79253bcd81e2e,Dune DEX Trader #0,87.0,DEX Trader,Active Trader,75,3.33,179,16869,477775124.81,28322.67,181,4,1,dune_dex_trades
94,0x6c13e8a16cdbd2e2dd19f70d87c1372c3563ec05,Dune DEX Trader #0,87.0,DEX Trader,Active Trader,64.5,6.82,176,330,3000620.83,9092.79,50,31,1,dune_dex_trades
95,0xb3d34cafeda3893a6665eb2342da7e26fdee90da,Dune DEX Trader #0,87.0,DEX Trader,Active Trader,87.5,28.78,114,114,627405.13,5503.55,54,9,5,dune_dex_trades
96,0xec9513dff3fd1eefa0a73962093cb658725413f4,Dune DEX Trader #0,86.9,DEX Trader,Active Trader,80,3.71,174,308,558496.74,1813.3,53,12,7,dune_dex_trades
97,0xa323f6472876f22d78dd5ae347fc460dc3e6d1a2,Dune DEX Trader #0,86.8,DEX Trader,Active Trader,71.4,10.38,179,511,11474476.46,22454.94,119,9,1,dune_dex_trades
98,0x930b88a592a045c428f3d99f7f3e5f95e3967508,Dune DEX Trader #0,86.7,DEX Trader,Active Trader,85.7,3.64,179,627,931982.35,1486.42,148,8,1,dune_dex_trades
99,0x1c0683b6664e5ec88decf8f964b372123f46ca12,Dune DEX Trader #0,86.7,DEX Trader,Active Trader,66.7,8.88,137,283,2672924.89,9444.96,45,5,3,dune_dex_trades
100,0x82c20a229d7ad1a34e663732b217ab8fc3fe3a1c,Dune DEX Trader #0,86.7,DEX Trader,Active Trader,80,4.85,173,243,392714.87,1616.11,89,10,2,dune_dex_trades
101,0x6ddf06ad881919d0be73ad73b42e847ca6a69c15,Dune DEX Trader #0,86.7,DEX Trader,Active Trader,80,5.02,151,239,436917.63,1828.11,88,9,2,dune_dex_trades
102,0x87827fbebca4ecd92ea31061632313224368fe3a,Dune DEX Trader #0,86.6,DEX Trader,Active Trader,80,8.41,156,258,553460.92,2145.2,99,8,2,dune_dex_trades
103,0x9ac85928260ffac789fb6762ca6262b52e396f28,Dune DEX Trader #0,86.6,DEX Trader,Active Trader,80,5.77,151,241,492150.3,2042.12,91,10,2,dune_dex_trades
104,0x5884b2faa9ad6f38010831e2290e515af17a7d47,Dune DEX Trader #0,86.5,DEX Trader,Active Trader,60,7.14,179,1022,2508326.88,2454.33,133,13,2,dune_dex_trades
105,0xa2faa7a40a378f2a0800af99d4c488b8a38d87ae,Dune DEX Trader #0,86.5,DEX Trader,Active Trader,75,5.98,117,83,1594207.41,19207.32,20,9,4,dune_dex_trades
106,0xb0722c144d2483d70e77cd90b545fd4e278f054d,Dune DEX Trader #0,86.4,DEX Trader,Active Trader,66.7,49.97,143,279,351270.17,1259.03,48,133,2,dune_dex_trades
107,0x92eae2d4f34f17eb32bf390af5019a37d375418e,Dune DEX Trader #0,86.3,DEX Trader,Active Trader,74.4,3.44,130,27773,99338356.43,3576.8,127,91,8,dune_dex_trades
108,0xbee898bca98a5b6de7323eeca168a775c566b008,Dune DEX Trader #0,86.3,DEX Trader,Active Trader,54.5,13.03,177,4056,15171814.38,3740.59,153,29,4,dune_dex_trades
109,0xd693c591baf8aa778a71ee173c9474bc8feea741,Dune DEX Trader #0,86.2,DEX Trader,Active Trader,63.6,5.47,176,630,1509830.97,2396.56,105,15,6,dune_dex_trades
110,0x19d780210ce1a560fa6c3fd8d551ee947e1a1466,Dune DEX Trader #0,86.1,DEX Trader,Active Trader,72.7,3.52,129,12844,69907143.75,5442.79,106,22,7,dune_dex_trades
111,0x1fb0b9891bc949d91c820a270beb0869a90bbea6,Dune DEX Trader #0,86.1,DEX Trader,Active Trader,80,74.88,177,129,153150.61,1187.21,61,6,5,dune_dex_trades
112,0x9f1967cfb9f91a6d0f77e90c7f563f8e3f918082,Dune DEX Trader #0,86.1,DEX Trader,Active Trader,80,13.95,159,62,120396.22,1941.87,27,12,2,dune_dex_trades
113,0xd065eb4f208c5dc0a7339edac6b2dad5f86e8f3e,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,64.6,4.15,134,7156,7370905.62,1030.03,100,67,4,dune_dex_trades
114,0x331d9a049d496385998067abf6cbb6371c8d2466,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,64.3,3.95,175,3331,7337785.44,2202.88,176,18,5,dune_dex_trades
115,0xe7e97e37df4d8d40d930de4c773badd838385971,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,60,6.27,123,849,4422414.59,5208.97,99,20,3,dune_dex_trades
116,0x85233822c6696939cc9172d897537046bfac4371,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,66.7,6.56,92,246,512753.32,2084.36,36,15,4,dune_dex_trades
117,0x298a7660daa53813d7defc506f971f4f0cf403f7,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,85.7,3.05,92,211,1705905.08,8084.86,26,7,6,dune_dex_trades
118,0x0f632b05edc1b9326ecf7e95fed52b222e1deb7a,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,83.3,3.21,113,176,1589105.85,9029.01,24,8,5,dune_dex_trades
119,0x731471a0cbdd906bff9bf7432ec1485ac69d112a,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,83.3,17.64,162,96,353457.32,3681.85,55,8,2,dune_dex_trades
120,0xe6434071c2dfd17a43814ea6a8c4d8eb41221c3e,Dune DEX Trader #0,86.0,DEX Trader,Active Trader,82.6,4.88,104,72,188590.7,2619.32,27,23,1,dune_dex_trades
121,0xc8ad355c8291cbd52e738ed1df1f5ccbbbbf00ee,Dune DEX Trader #0,85.9,DEX Trader,Active Trader,52.9,5.6,179,3509,44926308.89,12803.17,180,23,4,dune_dex_trades
122,0x92b6a2aee6c748ad196fbfd449f87c9b2aa2e519,Dune DEX Trader #0,85.9,DEX Trader,Active Trader,66.7,4.59,168,292,1232818.9,4221.98,48,7,1,dune_dex_trades
123,0x20031ded8076fcabff65a636935b084d24732208,Dune DEX Trader #0,85.8,DEX Trader,Active Trader,71.4,3.3,179,6821,11536113.76,1691.26,179,10,6,dune_dex_trades
124,0x5087043bb9490e6ea84a324a104b03c4e00dc3e6,Dune DEX Trader #0,85.8,DEX Trader,Active Trader,75,6.26,136,185,319687.37,1728.04,56,5,4,dune_dex_trades
125,0x1ad7e24b6287fdc29a93418d1cefa66f47c8b8d1,Dune DEX Trader #0,85.7,DEX Trader,Active Trader,69.6,20.48,121,505,378664,749.83,21,53,1,dune_dex_trades
126,0xe56cfad394121c46e908f33533a9c15de430bb55,Dune DEX Trader #0,85.7,DEX Trader,Active Trader,71.4,11.24,149,102,1074552.85,10534.83,27,10,5,dune_dex_trades
127,0xbee771bdfd802a8a6e3c040902aec1be1a11b006,Dune DEX Trader #0,85.6,DEX Trader,Active Trader,52.2,12.19,178,4066,14151060.2,3480.34,153,30,4,dune_dex_trades
128,0xbd15e4d324f8d02479a5ff53b52ef4048a79e444,Dune DEX Trader #0,85.6,DEX Trader,Active Trader,71.4,3.25,179,3138,8037692.81,2561.41,177,7,1,dune_dex_trades
129,0x448908fa61b7089fbf701c716996aa4bcc844ff5,Dune DEX Trader #0,85.6,DEX Trader,Active Trader,69,12.19,121,601,507162.1,843.86,21,51,1,dune_dex_trades
130,0x807a9341516068964b7435e2bd7ee064a04b5c96,Dune DEX Trader #0,85.6,DEX Trader,Active Trader,76.9,11.92,132,181,165584.3,914.83,29,66,1,dune_dex_trades
131,0xfda1215797d29414e588b2e62fc390ee2949aaaa,Dune DEX Trader #0,85.6,DEX Trader,Active Trader,66.7,5.89,123,136,4836957.98,35565.87,25,6,4,dune_dex_trades
132,0x027328fe9c07255f0b84bcfb0863a79074369679,Dune DEX Trader #0,85.6,DEX Trader,Active Trader,83.3,5.33,162,91,630127.9,6924.48,58,8,2,dune_dex_trades
133,0xc443e195dcdb7e094a848a1e2d31795a046caa93,Dune DEX Trader #0,85.5,DEX Trader,Active Trader,75,4.5,160,219,5924186.76,27051.08,58,4,5,dune_dex_trades
134,0xb9a4757a5cf3cd721581298d3aa2012335535bb7,Dune DEX Trader #0,85.5,DEX Trader,Active Trader,80,7.85,157,85,174441.18,2052.25,42,13,5,dune_dex_trades
135,0xfe263102682933297cb65dc813e5193249769251,Dune DEX Trader #0,85.4,DEX Trader,Active Trader,73.2,3.07,179,68697,84931069.67,1236.31,181,112,8,dune_dex_trades
136,0xba8bc4d77ce052d79dc2a06d8dfcff79bea46ee2,Dune DEX Trader #0,85.4,DEX Trader,Active Trader,66.7,4.09,94,728,2538912.98,3487.52,35,8,5,dune_dex_trades
137,0x6f3b2711c5a594c5e18ab070dfdd19aad54680eb,Dune DEX Trader #0,85.4,DEX Trader,Active Trader,66.7,3.9,148,385,438799.94,1139.74,43,4,1,dune_dex_trades
138,0x2224eaacc7c2dbf85d5355bab9e9271e01d30b55,Dune DEX Trader #0,85.3,DEX Trader,Active Trader,54.5,5.77,126,4223,138799142.38,32867.43,126,32,5,dune_dex_trades
139,0xd0686dd6115303a898dffe8c0cc27229f051f80b,Dune DEX Trader #0,85.3,DEX Trader,Active Trader,58.8,5.5,173,512,913897.57,1784.96,76,23,3,dune_dex_trades
140,0x55dfd188ae8da21243f57dd8dc73fa18c49787e2,Dune DEX Trader #0,85.3,DEX Trader,Active Trader,75,5.41,118,112,329584.95,2942.72,35,4,2,dune_dex_trades
141,0xb54470b356be59e6c90ed9f4e42fcfeb5c8840a1,Dune DEX Trader #0,85.3,DEX Trader,Active Trader,80,3.88,161,105,151498.36,1442.84,26,39,4,dune_dex_trades
142,0x7e13ac7462cbc62440a91dd2654f1c2d1fc9180e,Dune DEX Trader #0,85.3,DEX Trader,Active Trader,80,5.62,173,83,3220838.97,38805.29,46,5,5,dune_dex_trades
