rank,address,copy_trading_score,win_rate_pct,profit_factor,track_record_days,max_drawdown_pct,avg_trade_duration_hrs,total_trades,active_days,trades_per_day,avg_trade_usd,total_volume_usd,tokens_traded,dex_count,first_trade,last_trade,wallet_type,source,tags
24,0x1fb0b9891bc949d91c820a270beb0869a90bbea6,83.8,80,74.88,177,,,129,61,2.11,1187.21,153150.61,6,5,2025-12-12 16:38:35.000 UTC,2026-06-07 18:43:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
25,0x0000fdf3af21c329851de8e981178928e472edd9,83.5,71.4,7.1,179,,,7803,181,43.11,1657.99,12937274.51,10,6,2025-12-11 18:27:23.000 UTC,2026-06-09 14:20:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
26,0x0000000000001efe53a797754f094caf01bf92c7,82.7,60,17.14,179,,,4408,131,33.65,1022.26,4506122.85,17,3,2025-12-12 15:41:11.000 UTC,2026-06-09 16:49:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
27,0x276bf434613bd8cb5c8b3282ec6445c9370e33fa,82.4,44.4,18.38,179,,,2144,177,12.11,3495.39,7494116.45,61,3,2025-12-11 18:39:23.000 UTC,2026-06-09 05:16:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
28,0xd06c50cde7279a98ef970fbdba73e84930ad8468,82.3,77.8,5.15,179,,,7913,169,46.82,2432.08,19245052.54,139,5,2025-12-11 19:29:11.000 UTC,2026-06-08 23:55:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
29,0x731471a0cbdd906bff9bf7432ec1485ac69d112a,82.1,83.3,17.64,162,,,96,55,1.75,3681.85,353457.32,8,2,2025-12-26 11:17:23.000 UTC,2026-06-06 16:43:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
30,0xeefff83a8eb922b0de5286a1664b71272aaae9bf,81.8,83.3,11.29,176,,,237,78,3.04,2028.08,480653.86,8,5,2025-12-13 00:25:47.000 UTC,2026-06-07 04:25:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
31,0x88481e2fbc98d4a251655b0f1a4422555ea72d9e,81.6,71.4,7.93,178,,,709,147,4.82,8225.47,5831858.28,15,1,2025-12-12 06:49:11.000 UTC,2026-06-08 21:10:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
32,0xaaaaa11120784c31adb462bbc15e750b9d46b325,81.3,72.2,5.47,179,,,1632,172,9.49,18857.4,30775270.63,21,5,2025-12-11 21:34:35.000 UTC,2026-06-09 13:12:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
33,0xa323f6472876f22d78dd5ae347fc460dc3e6d1a2,81.3,71.4,10.38,179,,,511,119,4.29,22454.94,11474476.46,9,1,2025-12-11 21:11:59.000 UTC,2026-06-09 14:47:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
34,0x5de4ef4879f4fe3bbadf2227d2ac5d0e2d76c895,81.2,75,131.99,168,,,127,56,2.27,2652,336804.1,6,1,2025-12-12 04:35:59.000 UTC,2026-05-29 14:26:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
35,0x00003f0b7045822689ce3a6118846218a2c22cfd,81.1,66.7,6.18,179,,,8212,181,45.37,1941.81,15946106.38,10,7,2025-12-11 18:12:11.000 UTC,2026-06-09 16:27:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
36,0x2a59addab32b359a89520277ca7a57e976538fa6,81.1,66.7,9.96,178,,,3923,138,28.43,4076.74,15993039,3,1,2025-12-11 21:25:35.000 UTC,2026-06-08 11:50:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
37,0xb3d34cafeda3893a6665eb2342da7e26fdee90da,81.0,87.5,28.78,114,,,114,54,2.11,5503.55,627405.13,9,5,2025-12-11 18:50:11.000 UTC,2026-04-04 20:44:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
38,0xef2cf85e99664bc68efec4aadc267cbb2325c920,80.8,66.7,263.95,143,,,3528,94,37.53,1548.69,5463780.59,4,2,2026-01-09 08:47:35.000 UTC,2026-06-02 01:34:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
39,0x9c9b523347cba42cb5bf8af05dcb9fa54febbba4,80.8,66.7,31.86,170,,,179,78,2.29,2053.73,367617.93,4,8,2025-12-12 22:55:47.000 UTC,2026-06-01 11:46:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
40,0xbee898bca98a5b6de7323eeca168a775c566b008,80.7,54.5,13.03,177,,,4056,153,26.51,3740.59,15171814.38,29,4,2025-12-11 18:46:59.000 UTC,2026-06-07 14:26:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
41,0x930b88a592a045c428f3d99f7f3e5f95e3967508,80.6,85.7,3.64,179,,,627,148,4.24,1486.42,931982.35,8,1,2025-12-11 19:58:11.000 UTC,2026-06-09 08:06:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
42,0xbb3b6a8a9947ba3f91865fcc802e108a77ff9106,80.6,75,1375.96,148,,,158,66,2.39,1982.17,313183.23,7,1,2026-01-08 08:43:11.000 UTC,2026-06-05 18:39:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
43,0x00f72dde000091c62c51c600af6f0000dd00562e,80.4,97.5,22.52,104,,,106,32,3.31,1665.52,176545.61,40,2,2026-01-08 17:26:23.000 UTC,2026-04-23 01:31:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
44,0x841b6ff0979f86bd76579a3cd03fa43a6a1bb697,80.4,79.8,3.47,174,,,7808,172,45.4,1266.42,9888191.19,722,3,2025-12-11 18:11:11.000 UTC,2026-06-04 11:14:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
45,0x77edae6a5f332605720688c7fda7476476e8f83f,80.4,61.1,16.29,179,,,1018,105,9.7,1209.45,1231220.74,47,1,2025-12-12 07:24:59.000 UTC,2026-06-09 17:10:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
46,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,80.3,70.3,4.7,179,,,2980,179,16.65,2256.12,6723235.76,142,10,2025-12-11 18:27:59.000 UTC,2026-06-09 16:26:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
47,0x2e5ef37ade8afb712b8be858fec7389fe32857e2,80.3,66.7,5.62,179,,,2110,178,11.85,22497.49,47469712.87,17,5,2025-12-11 18:13:59.000 UTC,2026-06-09 17:00:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
48,0x88f80f426b20ca34f9e53dddb7839d3a63eb73dd,80.1,75,3.73,179,,,5172,181,28.57,1147.35,5934108.56,27,1,2025-12-11 18:30:11.000 UTC,2026-06-09 14:19:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
49,0xa77f84e26e93a92e8e5f22a1ba0a94099ae6f740,79.8,92.3,5.19,177,,,428,88,4.86,1624.39,695239.65,26,2,2025-12-11 23:16:23.000 UTC,2026-06-07 19:17:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
50,0x90b1c35ac4ccf24a7596c8f80da0078f46be195b,79.8,58.8,12.17,175,,,868,135,6.43,9412.1,8169704.5,28,3,2025-12-15 15:08:47.000 UTC,2026-06-08 21:34:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
51,0x3348a6d74b7ffa77921f70a3e2b620f84ab3e85b,79.8,75,17.9,170,,,113,49,2.31,6756.28,763459.77,6,4,2025-12-12 18:34:11.000 UTC,2026-05-31 18:36:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
52,0x932d91682423357b435172e50d9ea2dca614217f,79.6,70.6,9.05,176,,,593,116,5.11,7487.28,4439955.43,22,3,2025-12-15 13:56:11.000 UTC,2026-06-09 14:35:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
53,0x8d90113a1e286a5ab3e496fbd1853f265e5913c6,79.5,70,4.27,179,,,16897,181,93.35,24326.98,411052978.77,12,1,2025-12-11 18:06:23.000 UTC,2026-06-09 17:03:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
54,0xbee771bdfd802a8a6e3c040902aec1be1a11b006,79.5,52.2,12.19,178,,,4066,153,26.58,3480.34,14151060.2,30,4,2025-12-11 18:59:11.000 UTC,2026-06-08 17:52:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
55,0xd17b3c9784510e33cd5b87b490e79253bcd81e2e,79.4,75,3.33,179,,,16869,181,93.2,28322.67,477775124.81,4,1,2025-12-11 18:08:11.000 UTC,2026-06-09 16:57:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
56,0x6e9965973aebd5e3853255fcd84640b2b4c5a3f8,79.3,83.3,13.95,98,,,794,73,10.88,2139.91,1699091.99,6,3,2026-03-02 16:32:59.000 UTC,2026-06-09 15:28:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
57,0x81ef01189df6f6143a427856b0617b4fe0e892a9,79.3,70,4.12,179,,,2927,180,16.26,3675.08,10756948.36,11,5,2025-12-11 18:59:23.000 UTC,2026-06-09 10:15:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
58,0x87827fbebca4ecd92ea31061632313224368fe3a,79.3,80,8.41,156,,,258,99,2.61,2145.2,553460.92,8,2,2026-01-04 04:16:47.000 UTC,2026-06-09 04:34:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
59,0x955b5adcdbba6870feca78338137191f774679ca,79.3,66.7,4832.14,175,,,142,56,2.54,43193.88,6133531.47,8,2,2025-12-14 20:21:23.000 UTC,2026-06-08 06:25:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
60,0xfed83cd5d388dd7a07abb9bcefc6e5328de7691a,79.2,87.7,5.37,132,,,889,115,7.73,1052.96,936078.9,484,1,2026-01-28 07:20:11.000 UTC,2026-06-09 13:22:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
61,0x700b744fb8091e18ff88abb16793891678eea257,79.0,85.7,7.93,96,,,980,94,10.43,1881.12,1843495.04,7,7,2026-03-05 03:13:23.000 UTC,2026-06-09 14:26:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
62,0x8361a4786bd2081acbf4a0802aab618d6aa1c674,79.0,66.7,7.79,178,,,2939,135,21.77,15004.52,44098281.1,3,1,2025-12-11 19:53:59.000 UTC,2026-06-08 16:38:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
63,0x7bf6e86eea9b360a49066d7fdf12c9d2f3bc6c29,78.9,66.7,37.34,179,,,264,95,2.78,57609.08,15208796.98,7,4,2025-12-11 19:22:35.000 UTC,2026-06-09 14:37:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
64,0x6e6759b3ef49bab693127c9ea126eb6e549bc3d3,78.7,88.9,25.09,173,,,199,56,3.55,223759.35,44528110.26,9,2,2025-12-17 16:38:47.000 UTC,2026-06-08 23:57:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
65,0xea3b5b9d30495d00bb692e8b39ccff64e20ac528,78.6,80,47.96,146,,,63,33,1.91,1801.21,113476.06,6,3,2026-01-02 22:38:23.000 UTC,2026-05-29 06:53:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
66,0xbb97e044fdda625f054f5f9fe5dcf58fb0316104,78.5,66.7,7.7,168,,,8741,135,64.75,3020.35,26400840.89,16,4,2025-12-22 03:28:23.000 UTC,2026-06-09 00:56:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
67,0x01fdc48ba0903bb1ae7c517c9287d88ea236f8e1,78.5,94.7,1.05,173,,,3884,175,22.19,42888.35,166578361.62,451,6,2025-12-17 13:37:23.000 UTC,2026-06-09 00:32:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
68,0x74a0121dc0ab16d697b79b59cedeffc626d5e28f,78.4,75,9.96,177,,,306,77,3.97,32349.4,9898917.92,11,5,2025-12-12 15:36:11.000 UTC,2026-06-07 22:18:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
69,0x20031ded8076fcabff65a636935b084d24732208,78.3,71.4,3.3,179,,,6821,179,38.11,1691.26,11536113.76,10,6,2025-12-11 18:43:35.000 UTC,2026-06-09 15:33:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
70,0x08a4e1082c38fe46cdd433d7e9895ad0e6e11ac0,78.1,80,20.64,153,,,38,21,1.81,1195.84,45442.1,5,5,2026-01-03 10:10:23.000 UTC,2026-06-05 20:24:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
71,0x10ae4adc14e6806cf5c66fba8f86ceb2cc5a750a,78.1,90.7,1.1,179,,,5711,178,32.08,3655.47,20876373.8,75,3,2025-12-12 13:27:47.000 UTC,2026-06-09 17:03:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
72,0xbd15e4d324f8d02479a5ff53b52ef4048a79e444,78.0,71.4,3.25,179,,,3138,177,17.73,2561.41,8037692.81,7,1,2025-12-11 18:14:47.000 UTC,2026-06-09 16:15:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
73,0xbd32122bad41a09f2405bb374a83877d8245079c,77.9,76.9,2.37,179,,,9773,179,54.6,15089.47,147469411.2,378,12,2025-12-11 20:20:59.000 UTC,2026-06-09 14:38:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
74,0x063715c525924fd84f91dd7f169c56a8250e8c6a,77.8,83.3,9.57,168,,,197,54,3.65,38515.47,7587548.54,7,4,2025-12-15 08:00:59.000 UTC,2026-06-02 02:42:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
75,0x63f22cc7fdc9ffe4edf8e91abca106f9453dce98,77.8,80,6.41,157,,,301,104,2.89,1620.67,487821.22,11,2,2025-12-30 14:55:11.000 UTC,2026-06-05 20:57:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
76,0x9bcade0b971fd6d1750b73c3c98bfd764dde349d,77.6,66.7,722.07,94,,,703,76,9.25,1592.01,1119179.81,4,2,2025-12-12 10:25:47.000 UTC,2026-03-16 12:48:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
77,0x31539cf673d44665c7831def5738fe5f37bbb8d6,77.6,75,16.81,170,,,68,29,2.34,1770.5,120393.71,12,3,2025-12-12 18:34:23.000 UTC,2026-06-01 13:26:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
78,0x981e90c78ccdb321f06294362a70794914640c08,77.5,50,26.89,179,,,1074,139,7.73,861.83,925601.02,10,6,2025-12-11 23:51:35.000 UTC,2026-06-09 07:13:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
79,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2,77.3,62.5,5.59,179,,,3090,157,19.68,2148.83,6639898.41,20,3,2025-12-11 18:23:35.000 UTC,2026-06-09 16:45:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
80,0x11a968128adb249441d9d279a4ddd8968e158a11,77.3,57.1,25.59,172,,,255,70,3.64,1160.32,295880.79,7,5,2025-12-15 09:38:11.000 UTC,2026-06-05 19:18:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
81,0x8a9e18a68e60000001fa129a0a5f2be8a205ad36,77.3,50,23.57,178,,,319,89,3.58,2195.35,700315.15,14,2,2025-12-12 01:15:23.000 UTC,2026-06-09 01:10:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
82,0x2cc808648b96ff3657d6c1611042339c6f35b36c,77.2,60,36.48,175,,,186,55,3.38,2268.9,422015.25,7,5,2025-12-14 14:53:35.000 UTC,2026-06-08 13:19:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
83,0xf46b7b71bf024c4a7a102fb570c89b03d3ddec92,77.0,70,10.7,137,,,268,97,2.76,3530.45,946161.05,13,3,2025-12-11 18:14:59.000 UTC,2026-04-27 22:46:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
84,0x7a186984ac827fb7ad274ebac333b45c20be9def,77.0,75,2.22,179,,,4174,181,23.06,1082.16,4516917.05,4,1,2025-12-11 22:03:47.000 UTC,2026-06-09 14:18:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
85,0xcf26f76ac2907280572f1f92833c075b8833d0dd,77.0,66.7,15.42,141,,,171,78,2.19,1434.02,245217.87,4,2,2025-12-13 09:07:59.000 UTC,2026-05-03 19:05:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
86,0xa8e1aed437f83898784fdc5c0256412f10be33ae,76.9,75,5.53,179,,,1114,109,10.22,5955.71,6634664.02,16,1,2025-12-12 12:04:59.000 UTC,2026-06-09 14:24:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
87,0x331d9a049d496385998067abf6cbb6371c8d2466,76.9,64.3,3.95,175,,,3331,176,18.93,2202.88,7337785.44,18,5,2025-12-16 15:06:23.000 UTC,2026-06-09 16:34:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
88,0x8d10551fbb0da1eadf34b25210fe75f278fa9321,76.9,57.1,17.78,157,,,157,86,1.83,5675.78,891097.06,9,4,2025-12-27 19:29:47.000 UTC,2026-06-03 15:00:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
89,0xd3d5abbd6dd40b69ca365ae45f1ffd3870b1ddf9,76.8,77.8,2.81,165,,,843,156,5.4,5730.17,4830530.68,11,6,2025-12-26 06:37:59.000 UTC,2026-06-09 13:44:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
90,0x315d2ee4fccda0def532ef4108ff57204f8d9eba,76.7,83.3,2.84,179,,,727,128,5.68,1411.38,1026075.31,18,2,2025-12-12 15:32:35.000 UTC,2026-06-09 16:35:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
91,0x782ffae1f86962c6c574a5f9216e7af24b8573d4,76.6,80,2.4,168,,,1616,156,10.36,7729.7,12491200.07,6,3,2025-12-12 13:06:35.000 UTC,2026-05-29 15:16:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
92,0x1b09d85553732ce4de325a51a4149311be6d154f,76.5,77.8,5.14,157,,,1988,113,17.59,2278.9,4530458.41,12,5,2025-12-11 18:51:35.000 UTC,2026-05-18 00:52:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
93,0x9f1967cfb9f91a6d0f77e90c7f563f8e3f918082,76.4,80,13.95,159,,,62,27,2.3,1941.87,120396.22,12,2,2025-12-29 12:08:23.000 UTC,2026-06-06 21:01:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
94,0xb3afb6db38a8e72905165c1fbb96772e63560790,76.4,70,2.88,179,,,888,171,5.19,1787,1586859.65,11,4,2025-12-11 19:17:23.000 UTC,2026-06-09 10:47:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
